Placa Vehiculo,Kilometraje,Marca,Modelo ,Observaciones Varada (causa y solucion),Analisis Causa Raiz
OWS613,193342,Chevrolet,3,Reparación de transmisión y cambio de kit de embrague,"Humo blanco al arrancar, problemas en junta de culata"
AOT703,157679,Ford,3,Recarga sistema AC y reemplazo de compresor,Transmisión patina al cambiar marchas
MLV425,246752,Hyundai,NPR,"Alineación y balanceo, revisión de soportes",Luces delanteras intermitentes por relay defectuoso
MVI967,56742,Toyota,NPR,Cambio de amortiguadores delanteros y bujes,"Humo blanco al arrancar, problemas en junta de culata"
CZP375,17792,Nissan,3,Reparación de junta de culata y test de compresión,"Vibración al acelerar, posible desbalanceo de volante"
GAV325,113037,Isuzu,3,Cambio de amortiguadores delanteros y bujes,Transmisión patina al cambiar marchas
IKP481,176915,Hino,300,Recarga sistema AC y reemplazo de compresor,Sistema eléctrico con cortocircuito intermitente
LTH844,67805,Nissan,Transit,Cambio de relay y revisión de arnés eléctrico,"Fuga de aceite en motor, posible empaque de cárter"
HAZ041,27821,Ford,Accent,Reemplazo de batería y revisión de alternador,"Motor no enciende, batería descargada"
IOD634,137927,Isuzu,D-Max,Reparación de junta de culata y test de compresión,"Fuga de aceite en motor, posible empaque de cárter"
PSG143,173065,Isuzu,3,Reparación de junta de culata y test de compresión,"Humo blanco al arrancar, problemas en junta de culata"
WOC456,211357,Hyundai,Frontier,Reemplazo de pastillas y discos de freno,"Ruido en suspensión delantera, amortiguadores dañados"
SLB673,74979,Hino,3,Reparación de junta de culata y test de compresión,Sistema eléctrico con cortocircuito intermitente
VVX487,101330,Nissan,Frontier,Cambio de empaque de cárter y ajuste de tornillos,Luces delanteras intermitentes por relay defectuoso
DEK163,112086,Nissan,Transit,"Alineación y balanceo, revisión de soportes","Frenos chirriando, pastillas gastadas"
YVW906,163835,Chevrolet,3,"Alineación y balanceo, revisión de soportes",Transmisión patina al cambiar marchas
DPZ614,58332,Ford,D-Max,Recarga sistema AC y reemplazo de compresor,"Aire acondicionado no enfría, fuga de gas"
ZFH578,147732,Isuzu,Frontier,Cambio de relay y revisión de arnés eléctrico,Sistema eléctrico con cortocircuito intermitente
CKR538,27740,Hino,300,Cambio de amortiguadores delanteros y bujes,Luces delanteras intermitentes por relay defectuoso
VZB316,56814,Toyota,3,Reparación de transmisión y cambio de kit de embrague,"Motor no enciende, batería descargada"
OHB086,168677,Isuzu,Frontier,"Alineación y balanceo, revisión de soportes","Humo blanco al arrancar, problemas en junta de culata"
UFW645,102216,Hyundai,Hilux,Detección y reparación de cortocircuito en arnés,Transmisión patina al cambiar marchas
GJI319,246703,Nissan,3,Cambio de empaque de cárter y ajuste de tornillos,"Frenos chirriando, pastillas gastadas"
TUN502,61052,Toyota,Accent,Reemplazo de pastillas y discos de freno,"Vibración al acelerar, posible desbalanceo de volante"
NUZ634,132562,Hyundai,NPR,Reemplazo de pastillas y discos de freno,"Motor no enciende, batería descargada"
UJK835,172929,Ford,3,Cambio de amortiguadores delanteros y bujes,"Humo blanco al arrancar, problemas en junta de culata"
FZN650,234916,Nissan,Frontier,Reparación de junta de culata y test de compresión,"Vibración al acelerar, posible desbalanceo de volante"
XKJ658,184068,Nissan,D-Max,Detección y reparación de cortocircuito en arnés,Sistema eléctrico con cortocircuito intermitente
LPS870,77224,Nissan,300,Reemplazo de pastillas y discos de freno,Transmisión patina al cambiar marchas
FGI145,49187,Ford,Accent,Reparación de junta de culata y test de compresión,Transmisión patina al cambiar marchas
IOW667,115839,Isuzu,300,Reemplazo de pastillas y discos de freno,"Frenos chirriando, pastillas gastadas"
LSI252,78225,Mazda,Frontier,Reparación de junta de culata y test de compresión,"Aire acondicionado no enfría, fuga de gas"
HMH909,191342,Isuzu,Transit,"Alineación y balanceo, revisión de soportes",Sistema eléctrico con cortocircuito intermitente
QIX025,129997,Isuzu,D-Max,Recarga sistema AC y reemplazo de compresor,Luces delanteras intermitentes por relay defectuoso
ROI835,143078,Toyota,3,Reemplazo de pastillas y discos de freno,Transmisión patina al cambiar marchas
PAJ848,73835,Toyota,Accent,Cambio de empaque de cárter y ajuste de tornillos,"Vibración al acelerar, posible desbalanceo de volante"
UTA384,155174,Nissan,300,Reparación de junta de culata y test de compresión,Sistema eléctrico con cortocircuito intermitente
IEU613,35990,Ford,3,Detección y reparación de cortocircuito en arnés,"Fuga de aceite en motor, posible empaque de cárter"
XGZ252,223305,Hyundai,NPR,Cambio de amortiguadores delanteros y bujes,"Frenos chirriando, pastillas gastadas"
NSR603,218147,Nissan,NPR,Cambio de empaque de cárter y ajuste de tornillos,"Aire acondicionado no enfría, fuga de gas"
QHL874,56091,Isuzu,Hilux,Cambio de relay y revisión de arnés eléctrico,"Aire acondicionado no enfría, fuga de gas"
TLN807,100898,Nissan,Hilux,Cambio de empaque de cárter y ajuste de tornillos,"Humo blanco al arrancar, problemas en junta de culata"
HXG195,104415,Isuzu,Frontier,Reparación de transmisión y cambio de kit de embrague,"Frenos chirriando, pastillas gastadas"
ESH521,192655,Hyundai,Accent,Reemplazo de batería y revisión de alternador,Sistema eléctrico con cortocircuito intermitente
TQA739,35134,Isuzu,Transit,Cambio de relay y revisión de arnés eléctrico,Transmisión patina al cambiar marchas
HIN349,34155,Mazda,3,Cambio de relay y revisión de arnés eléctrico,"Aire acondicionado no enfría, fuga de gas"
DXK557,240698,Hyundai,Hilux,"Alineación y balanceo, revisión de soportes",Transmisión patina al cambiar marchas
EAI738,64625,Chevrolet,Accent,"Alineación y balanceo, revisión de soportes",Sistema eléctrico con cortocircuito intermitente
UTV572,31108,Toyota,Accent,Reemplazo de pastillas y discos de freno,"Frenos chirriando, pastillas gastadas"
CIH963,166923,Ford,NPR,Detección y reparación de cortocircuito en arnés,"Humo blanco al arrancar, problemas en junta de culata"
IEQ286,154379,Hino,Transit,Recarga sistema AC y reemplazo de compresor,"Humo blanco al arrancar, problemas en junta de culata"
AWS069,93578,Ford,Transit,Cambio de amortiguadores delanteros y bujes,"Motor no enciende, batería descargada"
ZIP208,47543,Hino,NPR,Detección y reparación de cortocircuito en arnés,Luces delanteras intermitentes por relay defectuoso
JGW360,130190,Mazda,Frontier,Detección y reparación de cortocircuito en arnés,"Humo blanco al arrancar, problemas en junta de culata"
USU919,63898,Mazda,300,Cambio de relay y revisión de arnés eléctrico,"Motor no enciende, batería descargada"
XHR383,47016,Mazda,Accent,Detección y reparación de cortocircuito en arnés,Transmisión patina al cambiar marchas
BPH478,228290,Ford,Hilux,Reparación de transmisión y cambio de kit de embrague,"Aire acondicionado no enfría, fuga de gas"
BXD321,150211,Hyundai,Accent,"Alineación y balanceo, revisión de soportes","Ruido en suspensión delantera, amortiguadores dañados"
HVU077,190675,Toyota,Frontier,Cambio de amortiguadores delanteros y bujes,"Frenos chirriando, pastillas gastadas"
JFI306,140305,Hino,300,Recarga sistema AC y reemplazo de compresor,"Aire acondicionado no enfría, fuga de gas"
SLI244,202296,Toyota,Hilux,Reparación de junta de culata y test de compresión,Sistema eléctrico con cortocircuito intermitente
VSL238,66998,Mazda,Accent,Cambio de empaque de cárter y ajuste de tornillos,"Motor no enciende, batería descargada"
FJT190,59619,Toyota,NPR,Cambio de relay y revisión de arnés eléctrico,Sistema eléctrico con cortocircuito intermitente
MXF830,198905,Nissan,Transit,Cambio de relay y revisión de arnés eléctrico,"Ruido en suspensión delantera, amortiguadores dañados"
LHQ341,10653,Isuzu,Transit,Cambio de relay y revisión de arnés eléctrico,Sistema eléctrico con cortocircuito intermitente
TVG084,109602,Hino,Hilux,Reparación de transmisión y cambio de kit de embrague,Luces delanteras intermitentes por relay defectuoso
YKT363,247788,Nissan,NPR,Reparación de transmisión y cambio de kit de embrague,"Aire acondicionado no enfría, fuga de gas"
USR796,243627,Nissan,D-Max,"Alineación y balanceo, revisión de soportes","Frenos chirriando, pastillas gastadas"
AJK904,90772,Hyundai,Frontier,Reparación de transmisión y cambio de kit de embrague,Sistema eléctrico con cortocircuito intermitente
WOQ596,139861,Ford,NPR,Reparación de transmisión y cambio de kit de embrague,"Vibración al acelerar, posible desbalanceo de volante"
TEZ057,138129,Mazda,3,Reparación de transmisión y cambio de kit de embrague,Sistema eléctrico con cortocircuito intermitente
VMO841,80029,Toyota,NPR,Reemplazo de pastillas y discos de freno,Transmisión patina al cambiar marchas
